"age","animalType","stayDuration","count"
1,"Cat",24.9958333333333,6888
1,"Dog",6.06041666666667,8139
2,"Cat",19.0534722222222,349
2,"Dog",10.0722222222222,2377
3,"Cat",20.9913194444444,230
3,"Dog",12.7652777777778,993
4,"Cat",15.8864583333333,122
4,"Dog",10.3805555555556,592
5,"Cat",19.9965277777778,119
5,"Dog",13.1208333333333,495
6,"Cat",20.6604166666667,103
6,"Dog",10.6416666666667,302
7,"Cat",25.88125,93
7,"Dog",17.4809027777778,228
8,"Cat",22.0927083333333,108
8,"Dog",13.0805555555556,227
9,"Cat",37.8833333333333,55
9,"Dog",15.0104166666667,117
10,"Cat",31.0416666666667,70
10,"Dog",16.5986111111111,115
11,"Cat",32.8090277777778,27
11,"Dog",11.06875,37
12,"Cat",38.0649305555556,36
12,"Dog",14.5819444444444,53
13,"Cat",30.1395833333333,37
13,"Dog",12.1892361111111,16
14,"Cat",21.4395833333333,17
14,"Dog",6.82222222222222,6
15,"Cat",28.8520833333333,11
15,"Dog",15.4097222222222,9
16,"Cat",18.9486111111111,6
16,"Dog",4.00833333333333,3
17,"Cat",14.2131944444444,3
17,"Dog",9.02013888888889,1
18,"Cat",45.10625,1
