"dmy","animalType","count"
"01/01/2014","Cat",335
"01/01/2015","Cat",295
"01/01/2016","Cat",304
"01/02/2014","Cat",269
"01/02/2015","Cat",266
"01/02/2016","Cat",279
"01/03/2014","Cat",353
"01/03/2015","Cat",340
"01/03/2016","Cat",333
"01/04/2014","Cat",566
"01/04/2015","Cat",537
"01/04/2016","Cat",663
"01/05/2014","Cat",901
"01/05/2015","Cat",1009
"01/05/2016","Cat",921
"01/06/2014","Cat",821
"01/06/2015","Cat",1103
"01/06/2016","Cat",703
"01/07/2014","Cat",881
"01/07/2015","Cat",778
"01/07/2016","Cat",573
"01/08/2014","Cat",679
"01/08/2015","Cat",812
"01/08/2016","Cat",767
"01/09/2014","Cat",704
"01/09/2015","Cat",754
"01/09/2016","Cat",647
"01/10/2013","Cat",542
"01/10/2014","Cat",605
"01/10/2015","Cat",784
"01/10/2016","Cat",369
"01/11/2013","Cat",436
"01/11/2014","Cat",482
"01/11/2015","Cat",488
"01/12/2013","Cat",331
"01/12/2014","Cat",341
"01/12/2015","Cat",320
"01/01/2014","Dog",877
"01/01/2015","Dog",866
"01/01/2016","Dog",848
"01/02/2014","Dog",818
"01/02/2015","Dog",813
"01/02/2016","Dog",810
"01/03/2014","Dog",895
"01/03/2015","Dog",857
"01/03/2016","Dog",863
"01/04/2014","Dog",858
"01/04/2015","Dog",899
"01/04/2016","Dog",811
"01/05/2014","Dog",966
"01/05/2015","Dog",988
"01/05/2016","Dog",1020
"01/06/2014","Dog",878
"01/06/2015","Dog",1014
"01/06/2016","Dog",854
"01/07/2014","Dog",926
"01/07/2015","Dog",795
"01/07/2016","Dog",765
"01/08/2014","Dog",841
"01/08/2015","Dog",818
"01/08/2016","Dog",802
"01/09/2014","Dog",917
"01/09/2015","Dog",784
"01/09/2016","Dog",791
"01/10/2013","Dog",965
"01/10/2014","Dog",853
"01/10/2015","Dog",854
"01/10/2016","Dog",492
"01/11/2013","Dog",817
"01/11/2014","Dog",847
"01/11/2015","Dog",865
"01/12/2013","Dog",852
"01/12/2014","Dog",892
"01/12/2015","Dog",776
"01/01/2014","Other",59
"01/01/2015","Other",32
"01/01/2016","Other",58
"01/02/2014","Other",99
"01/02/2015","Other",39
"01/02/2016","Other",56
"01/03/2014","Other",232
"01/03/2015","Other",144
"01/03/2016","Other",211
"01/04/2014","Other",104
"01/04/2015","Other",101
"01/04/2016","Other",74
"01/05/2014","Other",86
"01/05/2015","Other",86
"01/05/2016","Other",85
"01/06/2014","Other",88
"01/06/2015","Other",69
"01/06/2016","Other",72
"01/07/2014","Other",76
"01/07/2015","Other",61
"01/07/2016","Other",64
"01/08/2014","Other",119
"01/08/2015","Other",88
"01/08/2016","Other",79
"01/09/2014","Other",69
"01/09/2015","Other",51
"01/09/2016","Other",94
"01/10/2013","Other",81
"01/10/2014","Other",71
"01/10/2015","Other",93
"01/10/2016","Other",45
"01/11/2013","Other",65
"01/11/2014","Other",43
"01/11/2015","Other",55
"01/12/2013","Other",87
"01/12/2014","Other",49
"01/12/2015","Other",32
"01/01/2014","Bird",0
"01/01/2015","Bird",5
"01/01/2016","Bird",6
"01/02/2014","Bird",5
"01/02/2015","Bird",1
"01/02/2016","Bird",48
"01/03/2014","Bird",3
"01/03/2015","Bird",5
"01/03/2016","Bird",13
"01/04/2014","Bird",7
"01/04/2015","Bird",5
"01/04/2016","Bird",11
"01/05/2014","Bird",3
"01/05/2015","Bird",11
"01/05/2016","Bird",11
"01/06/2014","Bird",8
"01/06/2015","Bird",3
"01/06/2016","Bird",5
"01/07/2014","Bird",5
"01/07/2015","Bird",1
"01/07/2016","Bird",7
"01/08/2014","Bird",6
"01/08/2015","Bird",2
"01/08/2016","Bird",6
"01/09/2014","Bird",8
"01/09/2015","Bird",2
"01/09/2016","Bird",7
"01/10/2013","Bird",1
"01/10/2014","Bird",1
"01/10/2015","Bird",9
"01/10/2016","Bird",5
"01/11/2013","Bird",4
"01/11/2014","Bird",0
"01/11/2015","Bird",3
"01/12/2013","Bird",0
"01/12/2014","Bird",7
"01/12/2015","Bird",0
"01/01/2014","Livestock",0
"01/01/2015","Livestock",0
"01/01/2016","Livestock",1
"01/02/2014","Livestock",1
"01/02/2015","Livestock",0
"01/02/2016","Livestock",0
"01/03/2014","Livestock",1
"01/03/2015","Livestock",0
"01/03/2016","Livestock",0
"01/04/2014","Livestock",0
"01/04/2015","Livestock",1
"01/04/2016","Livestock",0
"01/05/2014","Livestock",1
"01/05/2015","Livestock",0
"01/05/2016","Livestock",0
"01/06/2014","Livestock",0
"01/06/2015","Livestock",0
"01/06/2016","Livestock",0
"01/07/2014","Livestock",0
"01/07/2015","Livestock",0
"01/07/2016","Livestock",0
"01/08/2014","Livestock",0
"01/08/2015","Livestock",0
"01/08/2016","Livestock",0
"01/09/2014","Livestock",0
"01/09/2015","Livestock",0
"01/09/2016","Livestock",0
"01/10/2013","Livestock",0
"01/10/2014","Livestock",0
"01/10/2015","Livestock",1
"01/10/2016","Livestock",0
"01/11/2013","Livestock",1
"01/11/2014","Livestock",0
"01/11/2015","Livestock",0
"01/12/2013","Livestock",0
"01/12/2014","Livestock",0
"01/12/2015","Livestock",0
